name,description,address,latitude,longitude
Right Side Coffee Bar,"Erigido sobre las cenizas (je) de Satan’s Coffee Corner, esta es mi cafetería favorita de Barcelona y donde preparan el mejor latte con avena de la ciudad.
","Carrer de l'Arc de Sant Ramon del Call, 11",41.38264207117917,2.1752526677825426
Phenomena Experience,"Pelis clásicas palomiteras en una buena sala. Por razones inexplicables las entradas no están numeradas y solo puedes pagar en metálico en el bar.
","Carrer de St. Antoni Maria Claret, 168",41.40923361160873,2.1718218260341406
Pècora,"Buena y bonita cafetería de especialidad a un tiro de manzana de Frutas Selectas. También tienen cosas dulces para comer.
","Carrer de Pujades, 113",41.39887555964336,2.1968050417827083
Orval,"Cafetería favorita en la zona. Alerta de kimcheese.
","Carrer de Buenaventura Muñoz, 31",41.392732992085215,2.1858767125397236
Onis Coffee,"Diminuta cafetería estratégicamente situada en Dreta de l’Eixample como un oasis en el desierto.
","Carrer de Roger de Llúria, 87",41.39524373651066,2.1660161807639344
El Noa Noa,"Una cafetería-librería con cafés y libros.
","Carrer de Torrijos, 22",41.403156276444605,2.159198194771789
MIKAN,"Vinos naturales y gastronomía del noroeste asiático (China, Japón, Corea) con opciones vegetarianas y veganas. Menú del día a mediodía y bar de vinos y platos para compartir por la noche.
","Carrer d'Aribau, 158",41.392483495253394,2.1543505254535993
Masa Vins,"Bar trendy de vinos naturales y también trendies en Poblenou.
","Carrer de Pallars, 154",41.39905461518514,2.1954502849044113
JazzMan,"
","Carrer de Roger de Flor, 238",41.40213522647976,2.169469046024921
Cafetería Japonesa Kasa Hanaka,"Una cafetería y sitio de almuerzos (y solo almuerzos) japo-catalán escondido y muy recomendable.
","Carrer de Saragossa, 29",41.401696340168684,2.149860615288348
Sede de la Editorial Gustavo Gili,"Una visita maja a un icono del racionalismo catalán.
","Carrer del Rosselló, 87-89",41.38692384689809,2.1479082227331228
Funky Bakers,"No tan funkies como dicen ser pero tienen cosas ricas.
","Pg. del Born, 10",41.38458415660393,2.182553957368447
Nomad Frutas Selectas,"Cafetería de Nomad con café de Nomad (claro), y pan y dulces de Pa de Kilo.
","Carrer de Pujades, 95",41.398138533227154,2.1959991095361917
Fismuler,"Cocina mediterránea de parte de tres ex-El Bulli.
","Carrer del Rec Comtal, 17",41.390302729862846,2.179832104117521
Fino Bar,"Queviures, salaons, xarcuteria al tall i molt de vi.
","Carrer del Torrent de les Flors, 113, Gràcia",41.40912805117236,2.157757869315849
Fábrica Garage,"
","Sant Adrià, 66",41.436009095441975,2.1967577024795357
Cyclic Beer Farm,"Taproom especializada en fermentaciones mixtas.
","Carrer de Coll, 37",41.42455743298923,2.1899451907195195
Cuina Panda,"Pequeño restaurante con comida casera típica de Sichuan. El menú cuando fui era muy carnívoro, pero lo adaptan sin problemas para vegetarianos o veganos.
","Carrer de Viladomat, 101",41.38012362269991,2.1572740000000006
COAC,"Col·legi d’Arquitectes de Catalunya.
","Plaça Nova, 5",41.38503647891218,2.175380638074763
Chido One,"Un mexicano bien chido.
","Carrer de Torrijos, 30, la Vila de Gràcia, Gràcia",41.4032943,2.1589741
Centre de Cultura Contemporània de Barcelona,"Centro cultural y centro de artes creativas con teatro, galerías de exposiciones y salas de conferencias
","Carrer de Montalegre, 5",41.38438058272032,2.1666050079501575
